FID,wkb_geometry,id,parkomat_id,vejkode,p_zone,beboer_zone,vejnavn,husnr,placering,ejerlavkode,opret_dato,ret_dato
parkomat.570,POINT (12.575333402234167 55.67916294054072),503,3852,3776,RØD,RH,KLOSTERSTRÆDE,15,"Blivende, eksisterende fortovsø",2000158,2010-03-01,
parkomat.571,POINT (12.579396943566179 55.680707836712614),504,3853,3992,RØD,KN,KRONPRINSENSGADE,10,"Blivende, eksisterende fortovsø",2000162,2010-03-01,
parkomat.572,POINT (12.574679576506215 55.681255475067154),505,3856,4016,RØD,NV,KRYSTALGADE,4,Eksisterende fortovsø,2000160,2010-03-01,
parkomat.573,POINT (12.587329601154462 55.67826108760477),506,4026,7564,GRØN,KN,TORDENSKJOLDSGADE,14,,2000181,2010-03-01,
parkomat.574,POINT (12.588502277440302 55.67686459464415),507,4046,7564,GRØN,KN,TORDENSKJOLDSGADE,31,Husmur,2000181,2010-03-01,
parkomat.575,POINT (12.587833849850737 55.67747733076234),508,4045,7564,GRØN,KN,TORDENSKJOLDSGADE,24,,2000181,2010-03-01,
parkomat.576,POINT (12.577000487107062 55.6803680560109),509,3861,4572,RØD,KN,LØVSTRÆDE,8,Eksisterende fortovsø,2000158,2010-03-01,
parkomat.577,POINT (12.579307398641689 55.681653478944035),510,3862,4904,RØD,KN,MØNTERGADE,8,"Blivende, eksisterende fortovsø",2000165,2010-03-01,
parkomat.578,POINT (12.584105148053359 55.68117125828449),511,3864,5080,RØD,KN,NY ADELGADE,3,Eksisterende fortovsø,2000162,2010-03-01,
parkomat.579,POINT (12.584890592952927 55.68526064839318),512,4243,0024,GRØN,KN,ADELGADE,48,,2000166,2010-03-01,
parkomat.580,POINT (12.583095058339373 55.68087549389936),513,3865,5148,RØD,KN,NY ØSTERGADE,10,Eksisterende fortovsø,2000162,2010-03-01,
parkomat.581,POINT (12.582739987945091 55.68118432081802),514,3866,5148,RØD,KN,NY ØSTERGADE,13,,2000162,2010-03-01,
parkomat.582,POINT (12.574004713638281 55.68161508733122),515,3870,5448,RØD,NV,PEDER HVITFELDTS STR,8,Eksisterende fortovsø,2000160,2010-03-01,
parkomat.583,POINT (12.579619081674084 55.68111323079119),516,3872,5520,RØD,KN,PILESTRÆDE,48,Eksisterende fortovsø,2000162,2010-03-01,
parkomat.584,POINT (12.580490800980336 55.680622031388936),517,3871,5520,RØD,KN,PILESTRÆDE,32,"Blivende, eksisterende fortovsø",2000162,2010-03-01,
parkomat.585,POINT (12.574917681640402 55.67999818624733),518,3877,6460,RØD,KN,SKINDERGADE,20,Eksisterende fortovsø,2000160,2010-03-01,
parkomat.586,POINT (12.57431486618512 55.67937168928124),519,3878,6460,RØD,RH,SKINDERGADE,29,"Blivende, eksisterende fortovsø",2000158,2010-03-01,
parkomat.587,POINT (12.580567058490862 55.68107113711157),520,3880,7204,RØD,KN,SVÆRTEGADE,5,Eksisterende fortovsø,2000162,2010-03-01,
parkomat.588,POINT (12.577946991565804 55.680126901133285),521,3881,7944,RØD,KN,VALKENDORFSGADE,9,,2000158,2010-03-01,
parkomat.589,POINT (12.577074864478636 55.67954292452081),522,3443,7944,RØD,KN,VALKENDORFSGADE,,"Blivende, eksisterende fortovsø",2000158,2010-03-01,
parkomat.590,POINT (12.578620372636186 55.68235636709391),523,3883,8412,RØD,KN,VOGNMAGERGADE,9,Eksisterende fortovsø,2000165,2010-03-01,
parkomat.591,POINT (12.582135962571835 55.67778520575221),524,3963,0028,RØD,KN,ADMIRALGADE,23,,2000181,2010-03-01,
parkomat.592,POINT (12.582269621007308 55.67742081199017),525,3964,0684,RØD,KN,BOLDHUSGADE,1,Husmur,2000181,2010-03-01,
parkomat.593,POINT (12.575365552173226 55.677907527713394),526,3965,0872,RØD,RH,BROLÆGGERSTRÆDE,1,"Blivende, eksisterende fortovsø",2000168,2010-03-01,
parkomat.594,POINT (12.573329290941231 55.67632232814569),527,3966,3832,RØD,RH,KOMPAGNISTRÆDE,34,"Blivende, eksisterende fortovsø",2000178,2010-03-01,
parkomat.595,POINT (12.572156778682729 55.67580114394065),528,3967,1728,RØD,RH,FARVERGADE,27B,,2000178,2010-03-01,
parkomat.596,POINT (12.576572300102573 55.678168122591366),529,3968,3156,RØD,RH,HYSKENSTRÆDE,3,Eksisterende fortovsø,2000169,2010-03-01,
parkomat.597,POINT (12.570554304383315 55.677469969971455),530,3969,3612,RØD,RH,KATTESUNDET,4,"Blivende, eksisterende fortovsø",2000178,2010-03-01,
parkomat.598,POINT (12.571737241483318 55.67697818369514),531,3970,3612,RØD,RH,KATTESUNDET,12,Eksisterende fortovsø,2000178,2010-03-01,
parkomat.599,POINT (12.563896000484936 55.67795921403838),532,2740,2564,GRØN,RH,HAMMERICHSGADE,14,,2000179,2010-03-01,
parkomat.600,POINT (12.590220455103141 55.681447788251106),533,2741,4292,GRØN,KN,LILLE STRANDSTRÆDE,24,,2000167,2010-03-01,
parkomat.601,POINT (12.588988698051823 55.681206297812025),534,4150,6960,GRØN,KN,STORE STRANDSTRÆDE,19,"Blivende, eksisterende fortovsø",2000167,2010-03-01,
parkomat.602,POINT (12.564602458948722 55.67118701058643),535,4346,5816,GRØN,VP,REVENTLOWSGADE,28,,2000179,2010-03-01,
parkomat.603,POINT (12.58353094362023 55.67825326374634),536,2873,0832,RØD,KN,BREMERHOLM,29,,2000181,2010-03-01,
parkomat.604,POINT (12.578622862268853 55.67707602629267),537,2876,8366,RØD,RH,VINDEBROGADE,,"Blivende, eksisterende fortovsø",2000169,2010-03-01,
parkomat.605,POINT (12.583077164406136 55.67761817900043),538,2878,4988,RØD,KN,NIKOLAJGADE,24,,2000181,2010-03-01,
parkomat.606,POINT (12.582243605395808 55.678391624141426),539,3998,4992,RØD,KN,NIKOLAJ PLADS,23,"Blivende, eksisterende fortovsø",2000181,2010-03-01,
parkomat.607,POINT (12.562685232304528 55.678581917311455),540,4107,8208,GRØN,VP,VESTER FARIMAGSGADE,33,,2000179,2010-03-01,
parkomat.608,POINT (12.557421032658729 55.66956375100271),541,3001,1640,BLÅ,VB,ERIKSGADE,9,,2000174,2010-03-01,
parkomat.609,POINT (12.556851679495278 55.66952452379175),542,3002,1664,BLÅ,VB,ESKILDSGADE,31,,2000174,2010-03-01,
parkomat.610,POINT (12.556737929294343 55.67011788610296),543,3003,3312,BLÅ,VB,ISTEDGADE,,,2000174,2010-03-01,
parkomat.611,POINT (12.556512089052287 55.67023107580618),544,3004,3312,BLÅ,VB,ISTEDGADE,46,,2000174,2010-03-01,
parkomat.612,POINT (12.555601680255165 55.67054318766514),545,3005,1664,BLÅ,VB,ESKILDSGADE,26,,2000174,2010-03-01,
parkomat.613,POINT (12.554728151179686 55.67138718213803),546,3006,1664,BLÅ,VB,ESKILDSGADE,6,,2000174,2010-03-01,
parkomat.614,POINT (12.554307754115792 55.67109653511613),547,3007,0020,BLÅ,VB,ABSALONSGADE,16,,2000174,2010-03-01,
parkomat.615,POINT (12.554992937538959 55.6703025188799),548,3008,0020,BLÅ,VB,ABSALONSGADE,23,,2000174,2010-03-01,
parkomat.616,POINT (12.55530840192631 55.66986446738464),549,3009,3312,BLÅ,VB,ISTEDGADE,58,,2000174,2010-03-01,
parkomat.617,POINT (12.555502723340062 55.669150002484734),550,3010,0020,BLÅ,VB,ABSALONSGADE,38,,2000174,2010-03-01,
parkomat.618,POINT (12.556464208964277 55.66757581721232),551,3011,6432,BLÅ,VB,SKELBÆKGADE,1,Ny fortovsø,2000174,2010-03-01,
parkomat.619,POINT (12.556966208668554 55.667020688507066),552,3012,6432,BLÅ,VB,SKELBÆKGADE,1,,2000174,2010-03-01,
parkomat.620,POINT (12.557068571048525 55.66656561002542),553,3013,6432,BLÅ,VB,SKELBÆKGADE,,,2000174,2010-03-01,
parkomat.621,POINT (12.558483725282631 55.666411818001585),554,3014,4080,GRØN,VB,KØDBODERNE,,,2000174,2010-03-01,2013-08-01
parkomat.622,POINT (12.557728512392297 55.66583955709867),555,3015,6432,BLÅ,VB,SKELBÆKGADE,42,,2000174,2010-03-01,
parkomat.623,POINT (12.557139539385254 55.665606508796664),556,3016,6724,BLÅ,VB,SOMMERSTEDGADE,29,,2000174,2010-03-01,
parkomat.624,POINT (12.556325764217723 55.666138647395535),557,3017,6724,BLÅ,VB,SOMMERSTEDGADE,30,,2000174,2010-03-01,
parkomat.625,POINT (12.555569053739426 55.666968265774656),558,3018,6724,BLÅ,VB,SOMMERSTEDGADE,12,,2000174,2010-03-01,
parkomat.626,POINT (12.555244962304432 55.66759155119667),559,3019,7288,BLÅ,VB,SØNDER BOULAVARD,37,,2000174,2010-03-01,
parkomat.627,POINT (12.554471675611204 55.66720846068136),560,3020,4008,BLÅ,VB,KRUSÅGADE,2,,2000174,2010-03-01,
parkomat.628,POINT (12.554996952309063 55.66654032020678),561,3021,4008,BLÅ,VB,KRUSÅGADE,14,,2000174,2010-03-01,
parkomat.629,POINT (12.555574153939078 55.665890185753064),562,3022,1376,BLÅ,VB,DYBBØLSGADE,22,,2000174,2010-03-01,
parkomat.630,POINT (12.556444711281745 55.6650749192428),563,3023,4008,BLÅ,VB,KRUSÅGADE,32,,2000174,2010-03-01,
parkomat.631,POINT (12.555318554738646 55.665472812671254),564,3024,2260,BLÅ,VB,GODSBANEGADE,25,,2000174,2010-03-01,
parkomat.632,POINT (12.554657901358473 55.665873098485704),565,3025,2260,BLÅ,VB,GODSBANEGADE,10,Husmur,2000174,2010-03-01,
parkomat.633,POINT (12.554348042678056 55.666548166909074),566,3026,2260,BLÅ,VB,GODSBANEGADE,7,,2000174,2010-03-01,
parkomat.634,POINT (12.554742159323 55.66951322053688),567,3027,3312,BLÅ,VB,ISTEDGADE,51,,2000174,2010-03-01,
